date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2025-05-20,CON,LV,3.29,-25.0,0.6054,False,28.29,159.4,149.0,10.400000000000006,Medium,41,41
2025-05-20,IND,ATL,2.97,-1.0,0.5953,False,3.97,168.1,181.0,12.900000000000006,Low,41,41
2025-05-22,MIN,DAL,14.49,4.0,0.8681,True,10.49,169.3,166.0,3.3000000000000114,High,43,42
2025-05-22,PHX,LA,5.31,3.0,0.666,True,2.3099999999999996,160.1,175.0,14.900000000000006,Medium,41,42
2025-05-22,ATL,IND,1.09,-5.0,0.5354,False,6.09,169.7,157.0,12.699999999999989,Low,42,42
2025-05-23,CHI,NY,-9.44,-25.0,0.2268,True,15.56,161.6,173.0,11.400000000000006,High,41,42
2025-05-23,MIN,CON,2.19,6.0,0.5707,True,3.81,155.1,146.0,9.099999999999994,Low,44,42
2025-05-24,LV,WAS,8.98,3.0,0.7626,True,5.98,161.8,147.0,14.800000000000011,High,42,43
2025-05-24,SEA,PHX,7.7,7.0,0.7313,True,0.7000000000000002,160.7,147.0,13.699999999999989,High,42,42
2025-05-24,IND,NY,-5.72,-2.0,0.3223,True,3.7199999999999998,171.9,178.0,6.099999999999994,Medium,43,43
2025-05-24,ATL,DAL,5.77,8.0,0.6793,True,2.2300000000000004,169.7,158.0,11.699999999999989,Medium,43,43
2025-05-25,ATL,CON,-3.81,24.0,0.3785,False,27.81,154.6,134.0,20.599999999999994,Medium,44,43
2025-05-25,LA,CHI,1.72,13.0,0.5555,True,11.28,156.9,169.0,12.099999999999994,Low,44,42
2025-05-25,PHX,WAS,3.27,6.0,0.6048,True,2.73,158.9,130.0,28.900000000000006,Medium,43,44
